"Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Bage"
0,1,1,0,3,0,0,0,1,0,0,0,1,165.1,170.18,125,27
3,0,0,3,5,0,0,0,0,0,0,0,0,180.34,193.04,205,36
0,1,1,2,9,0,0,0,1,0,0,0,1,160.02,160.02,115,36
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,135,30
1,0,1,1,4,0,0,1,0,0,0,0,1,162.56,167.64,115,29
1,0,0,1,1,0,0,0,0,0,0,0,0,180.34,190.5,185,33
4,0,4,5,26,0,0,0,2,2,1,0,5,175.26,172.72,135,27
0,6,6,2,21,0,0,0,4,4,0,0,8,182.88,185.42,170,32
1,0,6,5,48,0,0,2,8,3,1,0,14,177.8,180.34,145,34
0,0,0,0,0,0,0,0,0,0,0,0,0,195.58,208.28,205,26
0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,185,30
0,1,3,4,23,0,0,0,1,2,2,0,5,172.72,177.8,135,25
0,2,2,0,4,0,0,0,1,1,0,0,2,172.72,170.18,115,29
0,3,3,0,9,0,0,0,3,0,0,0,3,182.88,190.5,170,32
0,1,1,4,15,0,0,0,0,0,4,0,4,177.8,180.34,125,29
2,0,0,2,5,0,0,0,0,0,0,0,0,182.88,182.88,145,27
1,0,0,1,2,0,0,0,0,0,0,0,0,180.34,182.88,170,30
0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,177.8,135,33
0,1,2,3,19,0,0,1,0,4,0,0,5,177.8,180.34,170,27
0,3,3,1,12,1,0,1,1,2,0,0,4,175.26,180.34,135,34
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,177.8,155,23
0,0,0,0,0,0,0,0,0,0,0,0,0,154.94,160.02,115,26
0,1,1,0,1,0,0,0,0,0,1,0,1,190.5,190.5,155,25
1,0,1,3,8,1,0,0,1,1,0,0,2,160.02,162.56,115,27
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,145,28
0,1,1,0,3,0,1,0,0,0,0,0,1,175.26,182.88,155,32
1,0,1,1,5,0,0,1,0,0,0,0,1,185.42,187.96,145,29
1,0,1,3,12,0,0,0,1,0,0,0,1,167.64,172.72,125,27
2,0,1,3,9,0,0,1,0,0,0,0,1,167.64,172.72,135,27
0,3,6,3,34,0,0,1,1,10,0,0,12,190.5,200.66,260,33
1,0,5,3,20,0,0,0,1,3,4,0,8,185.42,182.88,185,38
2,0,2,4,15,0,0,0,1,2,0,0,3,180.34,195.58,185,34
1,0,1,2,8,0,0,0,1,1,0,0,2,182.88,185.42,185,28
0,3,3,0,10,0,0,1,1,1,0,0,3,193.04,203.2,185,29
1,0,1,2,5,0,0,0,0,0,1,0,1,177.8,182.88,145,31
0,1,1,1,6,0,0,0,1,0,0,0,1,172.72,182.88,145,28
