"Winner","Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Rcurrentlosestreak","Rcurrentwinstreak","Rlongestwinstreak","Rlosses","Rtotalroundsfought","Rtotaltitlebouts","RwinbyDecisionMajority","RwinbyDecisionSplit","RwinbyDecisionUnanimous","RwinbyKOTKO","RwinbySubmission","RwinbyTKODoctorStoppage","Rwins","RHeightcms","RReachcms","RWeightlbs","Bage","Rage","BStanceOpen.Stance","BStanceOrthodox","BStanceSideways","BStanceSouthpaw","BStanceSwitch","RStanceOpen.Stance","RStanceOrthodox","RStanceSideways","RStanceSouthpaw","RStanceSwitch"
"Red",2,0,1,2,7,0,0,0,0,0,1,0,1,190.5,190.5,249,1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,213.36,257,26,26,0,1,0,0,0,0,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,185,3,0,5,4,26,0,0,1,4,1,0,0,6,185.42,195.58,185,31,29,0,1,0,0,0,0,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,145,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,145,26,25,0,1,0,0,0,0,1,0,0,0
"Red",0,1,1,6,29,0,0,2,0,0,2,0,4,180.34,185.42,170,1,0,1,2,6,0,0,1,0,0,0,0,1,180.34,187.96,170,34,34,0,0,0,1,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,185.42,155,2,0,2,4,15,0,0,0,1,1,0,0,2,190.5,187.96,155,23,34,0,1,0,0,0,0,0,0,1,0
"Blue",0,2,2,2,15,0,0,1,2,1,0,0,4,190.5,193.04,235,0,1,3,3,22,0,0,0,2,2,0,0,4,190.5,198.12,249,37,33,0,1,0,0,0,0,1,0,0,0
"Blue",0,1,1,1,4,0,0,0,0,1,0,0,1,182.88,187.96,205,1,0,2,1,3,0,0,0,0,0,2,0,2,180.34,177.8,205,24,32,0,0,0,1,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,155,1,0,2,1,5,0,0,0,0,1,0,1,2,172.72,180.34,155,26,30,0,0,0,0,1,0,1,0,0,0
"Blue",0,3,4,5,45,0,1,0,4,8,3,0,16,175.26,182.88,155,0,13,13,3,50,4,0,1,4,8,2,1,16,180.34,175.26,155,30,27,0,0,0,1,0,0,1,0,0,0
"Blue",0,5,5,0,14,0,0,1,2,2,0,0,5,193.04,203.2,185,0,2,5,4,35,1,0,3,2,3,2,0,10,175.26,180.34,185,29,27,0,0,0,0,1,0,0,0,1,0
"Blue",1,0,2,4,11,1,0,0,0,3,0,0,3,185.42,193.04,205,2,0,2,3,18,0,0,0,1,2,0,0,3,185.42,190.5,185,29,31,0,0,0,1,0,0,0,0,1,0
"Blue",0,1,1,1,4,0,0,0,0,1,0,0,1,185.42,193.04,170,0,1,3,4,21,0,0,0,3,4,0,0,7,182.88,185.42,170,34,37,0,0,0,0,1,0,0,0,1,0
"Blue",2,0,5,4,15,0,0,0,0,3,3,0,6,190.5,195.58,205,1,0,4,7,41,1,1,0,1,5,4,0,11,190.5,203.2,205,27,36,0,1,0,0,0,0,0,0,1,0
"Blue",2,0,0,2,4,0,0,0,0,0,0,0,0,175.26,180.34,155,0,1,1,1,2,0,0,0,0,1,0,0,1,190.5,195.58,155,28,23,0,1,0,0,0,0,0,0,1,0
"Blue",0,2,2,1,13,0,0,1,1,0,2,0,4,165.1,170.18,125,0,1,3,5,31,1,0,0,5,0,2,0,7,162.56,165.1,125,28,34,0,1,0,0,0,0,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,170,2,0,1,4,16,0,0,0,1,1,0,0,2,180.34,193.04,170,24,33,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,175.26,135,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,135,27,28,0,1,0,0,0,0,0,0,1,0
"Blue",1,0,4,3,22,0,0,1,3,1,0,0,5,180.34,182.88,170,1,0,3,1,9,0,0,0,2,1,0,0,3,187.96,193.04,170,30,31,0,1,0,0,0,0,1,0,0,0
"Red",0,1,1,3,14,0,0,0,1,1,0,0,2,175.26,177.8,135,0,1,1,1,4,0,0,0,0,0,1,0,1,177.8,190.5,135,30,26,0,1,0,0,0,0,0,0,1,0
"Blue",1,0,2,1,5,0,0,0,1,1,0,0,2,172.72,170.18,115,1,0,1,1,4,0,0,0,1,0,0,0,1,165.1,170.18,125,30,27,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,185.42,135,2,0,1,3,11,0,0,0,1,0,0,0,1,177.8,182.88,135,24,28,0,0,0,0,1,0,1,0,0,0
"Blue",0,1,1,2,10,0,0,0,0,2,0,0,2,180.34,177.8,155,0,1,4,6,51,0,1,1,5,7,0,0,14,180.34,190.5,155,30,33,0,1,0,0,0,0,1,0,0,0
"Blue",0,2,2,2,12,0,0,0,1,3,1,0,5,185.42,195.58,185,1,0,2,4,19,0,0,1,2,1,0,0,4,185.42,198.12,185,30,37,0,1,0,0,0,0,1,0,0,0
"Red",0,2,4,9,50,1,0,1,6,4,0,0,11,177.8,185.42,145,1,0,2,2,15,0,0,1,2,1,0,0,4,167.64,177.8,145,32,34,0,0,0,1,0,0,1,0,0,0
"Blue",0,2,2,2,15,0,0,1,1,0,2,0,4,160.02,157.48,115,1,0,3,3,22,1,0,2,3,0,0,0,5,160.02,162.56,115,33,33,0,1,0,0,0,0,1,0,0,0
"Red",0,2,2,1,9,0,0,1,1,0,0,0,2,172.72,182.88,145,0,1,1,0,1,0,0,0,0,1,0,0,1,175.26,180.34,145,28,25,0,1,0,0,0,0,1,0,0,0
"Red",1,0,1,3,10,0,0,0,1,0,0,0,1,160.02,160.02,115,1,0,0,1,3,0,0,0,0,0,0,0,0,167.64,165.1,115,36,31,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,1,3,15,0,0,1,1,0,0,0,2,177.8,185.42,155,1,0,3,13,65,1,0,2,5,4,0,1,12,172.72,175.26,155,29,34,0,0,0,1,0,0,1,0,0,0
"Red",1,0,2,2,9,0,0,0,0,1,3,0,4,185.42,195.58,185,0,1,1,1,6,0,0,0,0,0,1,0,1,190.5,205.74,185,31,26,0,0,0,1,0,0,1,0,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,1,0,3,3,24,1,0,0,3,0,2,0,5,162.56,160.02,135,28,25,0,0,0,1,0,0,1,0,0,0
"Blue",1,0,2,2,13,0,0,1,1,0,1,0,3,170.18,170.18,125,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,125,27,22,0,1,0,0,0,0,1,0,0,0
"Red",0,2,2,1,7,0,0,1,0,0,1,0,2,167.64,165.1,135,1,0,3,1,7,0,0,0,1,1,1,0,3,167.64,165.1,135,24,27,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,5,7,38,4,0,1,1,2,4,0,8,177.8,182.88,170,1,0,7,4,38,2,0,0,4,5,0,0,9,182.88,190.5,170,32,36,0,1,0,0,0,0,1,0,0,0
"Red",0,4,4,0,10,0,0,0,3,1,0,0,4,185.42,198.12,264,1,0,4,3,18,0,0,0,2,2,0,1,5,193.04,203.2,265,31,28,0,0,0,1,0,0,1,0,0,0
"Red",0,3,3,0,7,0,0,1,0,2,0,0,3,165.1,172.72,125,0,3,3,4,29,0,0,0,5,0,3,0,8,165.1,170.18,125,31,33,0,1,0,0,0,0,1,0,0,0
"Red",0,1,1,1,6,0,0,1,0,0,0,0,1,177.8,177.8,145,1,0,1,1,4,0,0,0,0,0,1,0,1,190.5,190.5,155,28,25,0,1,0,0,0,0,0,0,1,0
"Red",0,3,3,1,12,0,0,0,3,0,0,0,3,165.1,170.18,125,0,1,1,0,2,0,0,0,0,1,0,0,1,165.1,165.1,125,26,20,0,0,0,1,0,0,0,0,0,1
"Red",0,1,1,0,2,0,0,0,0,0,1,0,1,177.8,187.96,145,0,1,1,0,3,0,1,0,0,0,0,0,1,177.8,182.259531136887,145,28,24,0,1,0,0,0,0,0,0,1,0
"Red",0,2,3,3,24,0,0,2,3,0,0,0,5,167.64,167.64,135,0,2,3,4,25,0,0,0,1,2,3,0,6,172.72,177.8,135,38,26,0,1,0,0,0,0,0,0,0,1
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,162.56,162.56,125,1,0,3,3,23,1,0,2,3,0,1,0,6,167.64,172.72,125,30,34,0,1,0,0,0,0,1,0,0,0
"Red",1,0,1,5,22,0,0,0,3,0,0,0,3,160.02,162.56,115,2,0,1,6,28,0,0,1,3,0,0,0,4,162.56,160.02,115,34,33,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,0,1,2,0,0,0,0,0,0,0,0,175.26,175.26,135,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,180.34,135,27,26,0,1,0,0,0,0,0,0,0,1
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,180.34,125,0,1,1,3,15,0,0,1,1,0,0,0,2,167.64,172.72,125,29,28,0,1,0,0,0,0,1,0,0,0
"Blue",2,0,3,6,41,0,0,0,5,3,1,0,9,180.34,187.96,170,1,0,4,2,19,1,0,0,3,2,0,0,5,182.88,187.96,170,34,26,0,1,0,0,0,0,0,0,1,0
