"Winner","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO_TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Height_cms","B_Reach_cms","B_Weight_lbs","B_age","B_Stance_Open_Stance","B_Stance_Orthodox","B_Stance_Southpaw","B_Stance_Switch","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO_TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","R_Stance_Open_Stance","R_Stance_Orthodox","R_Stance_Southpaw","R_Stance_Switch"
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,172.72,145,25,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,180.34,180.34,155,28,0,0,0,1
"Red",0,1,1,0,3,0,0,0,0,1,0,0,1,195.58,203.2,265,27,0,1,0,0,0,1,1,1,8,0,0,0,2,0,0,0,2,185.42,190.5,245,32,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,170.18,135,30,0,1,0,0,2,0,4,3,15,0,0,0,1,0,3,0,4,165.1,165.1,135,34,0,0,1,0
"Blue",0,3,3,2,13,0,0,0,1,3,2,0,6,185.42,195.58,185,30,0,1,0,0,0,1,5,3,23,0,0,0,1,4,4,0,9,185.42,182.88,185,39,0,1,0,0
"Red",2,0,0,2,3,0,0,0,0,0,0,0,0,187.96,187.96,253,36,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,195.58,203.2,265,30,0,1,0,0
"Blue",1,0,2,4,20,0,0,1,0,4,0,0,5,177.8,180.34,170,27,0,1,0,0,1,0,3,5,30,0,0,0,2,4,3,0,9,180.34,193.04,170,31,0,1,0,0
"Red",0,2,2,2,11,0,0,0,1,2,0,0,3,185.42,190.5,205,25,0,0,1,0,0,1,5,5,36,1,0,0,2,4,4,1,11,187.96,193.04,205,39,0,1,0,0
"Blue",0,3,3,0,5,0,0,0,0,2,1,0,3,180.34,177.8,135,27,0,0,0,1,0,2,6,3,38,0,0,1,4,6,1,0,12,160.02,170.18,135,28,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.5,155,26,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,187.96,185.42,155,25,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,170,28,0,0,1,0,2,0,3,8,33,0,0,1,2,3,3,0,9,187.96,195.58,170,36,0,1,0,0
