"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Blue",0,180.34,3,4,0,0,0,0,0,0,0
"Red",0,187.96,2,0,0,0,0,1,0,1,0
"Blue",2,190.5,2,0,0,0,0,0,0,0,0
"Red",3,195.58,4,0,0,1,0,0,0,0,0
"Red",0,193.04,9,1,0,0,0,0,0,0,0
"Blue",3,182.88,9,0,0,1,0,0,0,0,0
"Blue",2,185.42,3,0,0,0,0,4,0,0,0
"Blue",0,170.18,0,0,0,0,0,0,0,0,0
"Red",1,187.96,0,0,0,0,0,0,0,0,0
"Blue",1,190.5,6,0,1,0,0,0,0,0,0
"Red",0,165.1,5,1,1,0,0,2,0,1,0
"Red",0,185.42,6,1,1,0,0,2,0,0,0
"Blue",0,170.18,1,0,1,0,0,0,0,0,0
"Blue",0,170.18,5,2,0,0,0,0,0,0,0
"Blue",0,187.96,0,0,0,0,1,0,0,0,0
"Blue",8,177.8,8,0,1,0,0,3,0,1,0
"Red",0,165.1,4,1,0,0,0,3,1,0,0
"Blue",0,187.96,4,0,0,0,0,0,0,0,0
"Blue",0,182.88,1,0,0,1,0,0,0,0,0
"Blue",0,177.8,2,0,1,0,0,0,0,0,0
"Red",3,165.1,3,0,1,0,0,1,0,0,0
"Red",0,185.42,0,1,0,1,0,0,1,0,0
"Red",0,190.5,8,1,0,0,0,1,0,1,0
"Red",0,170.18,0,0,0,0,0,0,0,0,0
"Blue",0,203.2,2,2,0,0,0,0,0,0,0
"Red",0,203.2,6,0,0,1,0,0,0,0,0
"Red",0,170.18,0,0,0,0,0,1,0,0,0
"Red",0,180.34,3,1,0,0,0,0,0,0,0
"Blue",0,180.34,0,1,0,0,0,0,1,0,0
"Red",1,167.64,1,0,0,0,0,0,0,0,0
"Blue",0,182.88,1,3,0,0,0,0,0,0,0
"Red",1,166.080135375813,0,0,0,0,1,0,0,0,0
"Red",0,182.88,0,0,0,0,0,0,0,0,0
"Red",0,160.02,0,1,0,0,0,0,1,0,0
"Red",0,205.74,1,1,0,1,0,0,0,0,0
"Blue",0,182.88,0,4,1,0,0,0,0,0,0
"Blue",6,203.2,5,0,0,0,0,1,0,0,0
"Red",0,180.34,5,1,0,0,0,3,2,0,0
"Blue",0,193.04,3,0,1,0,0,0,0,0,0
"Blue",0,198.12,4,0,1,0,0,3,0,0,0
"Blue",1,172.72,2,0,1,0,0,0,0,1,0
"Red",2,162.56,1,0,0,0,0,2,0,0,0
"Red",3,170.18,2,0,0,0,0,2,0,0,0
"Red",1,170.18,1,0,0,1,0,1,0,0,0
"Blue",0,184.956097097066,1,2,1,0,0,0,0,0,0
"Red",0,180.34,0,1,0,0,0,0,0,0,0
"Red",0,177.8,0,0,0,0,0,0,0,0,0
"Red",1,185.42,8,0,0,0,0,5,1,0,0
"Blue",3,170.18,3,0,0,0,0,2,1,0,0
"Red",0,182.88,5,0,1,0,0,3,0,0,0
"Red",0,165.1,0,0,0,0,1,0,0,0,0
"Red",1,180.34,0,0,0,1,0,0,0,0,0
"Red",0,175.26,3,1,1,0,0,0,0,1,0
"Blue",0,182.88,3,0,0,0,0,4,0,0,0
"Red",1,177.8,1,0,0,0,0,2,0,0,0
"Red",0,193.04,0,1,0,1,0,0,1,0,0
"Blue",0,175.26,1,1,0,0,1,1,0,0,0
"Red",0,165.1,1,2,0,0,0,1,1,0,0
"Red",3,182.88,2,0,0,0,0,3,1,0,0
"Blue",0,198.12,3,1,0,0,0,3,0,0,0
"Blue",0,198.12,3,2,0,0,0,0,0,1,0
"Red",0,187.96,1,1,1,0,0,1,0,0,0
"Blue",3,195.58,4,0,1,0,0,1,1,1,0
