Fighter_ID,Fighter,Date,current_lose_streak,current_win_streak,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO_TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Height_cms,Reach_cms,Weight_lbs,age,Stance_Open_Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,fighter_img_path
98,Andy Enz,31/01/2015,2,0,0,2,6,0,0,0,0,0,0,0,0,190.5,198.12,185,23,0,1,0,0,images/shayan.jpeg
99,Andy Ogle,24/01/2015,3,0,1,4,15,0,0,0,1,0,0,0,1,172.72,175.26,145,25,0,1,0,0,images/reza.jpeg
100,Andy Wang,23/06/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,171.4732673,155,30,0,1,0,0,images/prat.jpeg
101,Angela Hill,08/06/2019,0,1,1,6,26,0,0,0,4,0,0,0,4,160.02,162.56,115,34,0,1,0,0,images/vikas.jpeg
102,Anistavio Medeiros,23/06/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,171.4732673,145,24,0,1,0,0,images/mufi.jpeg
103,Anna Elmose,19/11/2016,1,0,0,1,1,0,0,0,0,0,0,0,0,160.02,165.1,115,32,0,1,0,0,images/shayan.jpeg
104,Ansar Chalangov,06/04/2006,1,0,0,1,1,0,0,0,0,0,0,0,0,175.26,179.5629652,170,26,0,1,0,0,images/reza.jpeg
105,Anthony Birchak,07/11/2015,0,1,1,1,2,0,0,0,0,1,0,0,1,172.72,175.26,135,29,0,1,0,0,images/prat.jpeg
106,Anthony Christodoulou,08/08/2015,1,0,0,1,2,0,0,0,0,0,0,0,0,175.26,182.88,155,28,0,1,0,0,images/vikas.jpeg
107,Anthony Hamilton,18/11/2017,3,0,1,6,14,0,0,0,1,2,0,0,3,195.58,193.04,260,37,0,1,0,0,images/mufi.jpeg
108,Anthony Hernandez,02/02/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,190.5,185,25,0,1,0,0,images/shayan.jpeg
109,Anthony Johnson,08/04/2017,0,3,3,5,31,1,0,0,2,11,0,0,13,187.96,198.12,205,33,0,1,0,0,images/reza.jpeg
110,Anthony Lapsley,10/05/2014,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,180.34,170,34,0,0,1,0,images/prat.jpeg
111,Anthony Njokuani,04/10/2014,1,0,1,4,20,0,0,0,2,1,0,0,3,185.42,190.5,155,34,0,1,0,0,images/vikas.jpeg
112,Anthony Perosh,14/11/2015,1,0,3,6,17,0,0,0,0,2,3,0,5,190.5,190.5,205,43,0,1,0,0,images/mufi.jpeg
113,Anthony Pettis,23/03/2019,1,0,5,7,38,4,0,1,1,2,4,0,8,177.8,182.88,170,32,0,1,0,0,images/shayan.jpeg
114,Anthony Rocco Martin,09/03/2019,0,3,3,4,29,0,0,0,3,1,3,0,7,182.88,185.42,170,29,0,1,0,0,images/reza.jpeg
115,Anthony Smith,01/06/2019,1,0,3,4,27,1,0,0,1,5,1,0,7,193.04,193.04,205,30,0,1,0,0,images/prat.jpeg
116,Anthony Torres,17/08/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.8663992,170,28,0,1,0,0,images/vikas.jpeg
117,Anton Kuivanen,23/02/2013,0,1,1,1,6,0,0,1,0,0,0,0,1,172.72,182.88,155,28,0,1,0,0,images/mufi.jpeg
118,Anton Zafir,08/07/2016,1,0,0,1,1,0,0,0,0,0,0,0,0,180.34,182.88,170,29,0,1,0,0,images/shayan.jpeg
119,Antoni Hardonk,24/10/2009,1,0,3,3,12,0,0,0,0,4,0,0,4,193.04,198.12,245,33,0,1,0,0,images/reza.jpeg
120,Antonina Shevchenko,30/11/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,170.18,125,34,0,0,1,0,images/prat.jpeg
121,Antonio Banuelos,05/02/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,160.02,135,31,0,1,0,0,images/vikas.jpeg
122,Antonio Braga Neto,09/12/2017,1,0,1,1,4,0,0,0,0,0,1,0,1,190.5,195.58,185,30,0,1,0,0,images/mufi.jpeg
123,Antonio Carlos Junior,18/05/2019,0,4,4,3,21,1,0,0,2,0,4,0,6,187.96,200.66,185,29,0,1,0,0,images/shayan.jpeg
124,Antonio Carvalho,16/03/2013,0,2,2,1,7,0,0,1,0,1,0,0,2,175.26,172.72,145,33,0,1,0,0,images/reza.jpeg
125,Antonio Dos Santos,20/06/2015,1,0,0,1,2,0,0,0,0,0,0,0,0,177.8,182.88,185,26,0,1,0,0,images/prat.jpeg
126,Antonio McKee,01/01/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.8663992,155,40,0,0,1,0,images/vikas.jpeg
127,Antonio Mendes,17/01/2009,1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,195.58,205,27,0,0,1,0,images/mufi.jpeg
128,Antonio Silva,24/09/2016,2,0,2,7,17,1,0,0,0,3,0,0,3,193.04,203.2,264,37,0,1,0,0,images/shayan.jpeg
129,Ariane Lipski,19/01/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,160.02,170.18,125,24,0,1,0,0,images/reza.jpeg
130,Arjan Bhullar,04/05/2019,0,1,1,1,8,0,0,0,2,0,0,0,2,185.42,190.5,245,32,0,1,0,0,images/prat.jpeg
131,Arman Tsarukyan,20/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,155,22,0,1,0,0,images/vikas.jpeg
132,Arnold Allen,16/03/2019,0,4,4,0,12,0,0,1,1,0,2,0,4,172.72,177.8,145,25,0,0,1,0,images/mufi.jpeg
133,Art Jimmerson,12/11/1993,0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.349229,196,30,0,1,0,0,images/shayan.jpeg
134,Artem Lobov,27/10/2018,2,0,2,4,20,1,0,0,2,0,0,0,2,175.26,165.1,145,32,0,0,1,0,images/reza.jpeg
135,Ashkan Mokhtarian,18/11/2017,1,0,0,1,3,0,0,0,0,0,0,0,0,167.64,170.18,125,32,0,0,1,0,images/prat.jpeg
136,Ashlee Evans-Smith,17/02/2019,0,1,2,3,14,0,0,1,1,1,0,0,3,172.72,170.18,125,31,0,1,0,0,images/vikas.jpeg
137,Ashley Yoder,10/11/2018,3,0,0,3,9,0,0,0,0,0,0,0,0,170.18,175.26,115,31,0,0,1,0,images/mufi.jpeg
138,Aspen Ladd,06/10/2018,0,1,1,0,2,0,0,0,0,1,0,0,1,167.64,167.64,135,23,0,1,0,0,images/shayan.jpeg
139,Assuerio Silva,21/04/2007,2,0,0,2,4,0,0,0,0,0,0,0,0,177.8,182.2595311,241,32,0,1,0,0,images/reza.jpeg
140,Augusto Mendes,15/04/2017,0,1,1,1,4,0,0,1,0,0,0,0,1,167.64,165.1,135,34,0,1,0,0,images/prat.jpeg
141,Augusto Montano,17/09/2016,1,0,1,1,4,0,0,0,0,1,0,0,1,185.42,185.42,170,31,0,1,0,0,images/vikas.jpeg
142,Augusto Sakai,27/04/2019,0,1,1,0,3,0,0,0,0,1,0,0,1,190.5,195.58,265,27,0,1,0,0,images/mufi.jpeg
143,Austin Arnett,09/02/2019,0,1,1,2,8,0,0,0,1,0,0,0,1,182.88,182.88,145,27,0,1,0,0,images/shayan.jpeg
144,Austin Hubbard,18/05/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,155,27,0,1,0,0,images/reza.jpeg
145,Azamat Gashimov,18/05/2013,1,0,0,1,1,0,0,0,0,0,0,0,0,167.64,167.64,125,23,0,1,0,0,images/prat.jpeg
146,BJ Penn,11/05/2019,7,0,3,14,74,11,0,0,1,6,4,1,12,175.26,177.8,155,40,0,1,0,0,images/vikas.jpeg
147,Bart Palaszewski,13/04/2013,2,0,1,2,7,0,0,0,0,1,0,0,1,175.26,177.8,145,29,0,1,0,0,images/mufi.jpeg
148,Bartosz Fabinski,17/11/2018,0,3,3,0,9,0,0,0,3,0,0,0,3,182.88,190.5,170,32,0,1,0,0,images/shayan.jpeg
149,Bas Rutten,07/05/1999,0,1,1,0,2,0,0,0,0,1,0,0,1,185.42,190.349229,205,34,0,1,0,0,images/reza.jpeg
150,Bea Malecki,01/06/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,187.96,135,27,0,1,0,0,images/prat.jpeg
151,Bec Rawlings,07/04/2018,3,0,2,4,15,0,0,0,1,0,1,0,2,167.64,162.56,125,29,0,1,0,0,images/vikas.jpeg
152,Belal Muhammad,13/04/2019,1,0,4,3,22,0,0,1,3,1,0,0,5,180.34,182.88,170,30,0,1,0,0,images/mufi.jpeg
153,Ben Askren,02/03/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,34,0,1,0,0,images/shayan.jpeg
154,Ben Nguyen,01/12/2018,1,0,2,2,11,0,0,0,1,1,2,0,4,165.1,165.1,125,30,0,0,0,1,images/reza.jpeg
155,Ben Rothwell,09/03/2019,1,0,4,4,23,0,0,0,1,3,2,0,6,193.04,198.12,265,37,0,1,0,0,images/prat.jpeg
156,Ben Saunders,27/04/2019,2,0,3,8,33,0,0,1,2,3,3,0,9,187.96,195.58,170,36,0,1,0,0,images/vikas.jpeg
157,Ben Wall,10/05/2014,1,0,0,1,1,0,0,0,0,0,0,0,0,177.8,185.42,155,25,0,1,0,0,images/mufi.jpeg
158,Beneil Dariush,09/03/2019,0,1,5,5,30,0,0,1,4,1,3,0,9,177.8,182.88,155,29,0,0,1,0,images/shayan.jpeg
159,Benito Lopez,17/02/2019,0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,185.42,135,24,0,0,0,1,images/reza.jpeg
160,Benji Radach,27/09/2002,0,1,1,1,4,0,0,0,1,0,0,0,1,177.8,182.2595311,185,23,0,1,0,0,images/prat.jpeg
161,Benny Alloway,28/08/2013,1,0,1,1,4,0,0,0,0,1,0,0,1,180.34,190.5,170,32,0,1,0,0,images/vikas.jpeg
162,Benson Henderson,28/11/2015,0,1,7,3,47,5,0,3,5,0,2,0,10,175.26,177.8,170,32,0,0,1,0,images/mufi.jpeg
163,Bentley Syler,21/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,172.72,125,32,0,1,0,0,images/shayan.jpeg
